"word","definition"
"septentrion","Alt. of Septentrional"
"hub","A hardened, engraved steel punch for impressing a device upon a die, used in coining, etc."""
"self-seeking","The act or habit of seeking one's own interest or happiness; selfishness."
"selectman","One of a board of town officers chosen annually in the New England States to transact the general public business of the town, and have a kind of executive authority. The number is usually from three to seven in each town."""
"lorry","A small cart or wagon, as those used on the tramways in mines to carry coal or rubbish; also, a barrow or truck for shifting baggage, as at railway stations."""
"remodify","To modify again or anew; to reshape."
"manual","A prescribed exercise in the systematic handing of a weapon; as, the manual of arms; the manual of the sword; the manual of the piece (cannon, mortar, etc.)."""
"muffin","A light, spongy, cylindrical cake, used for breakfast and tea."""
"bison","The American bison buffalo (Bison Americanus), a large, gregarious bovine quadruped with shaggy mane and short black horns, which formerly roamed in herds over most of the temperate portion of North America, but is now restricted to very limited districts in the region of the Rocky Mountains, and is rapidly decreasing in numbers."""
"triple-crowned","Having three crowns; wearing the triple crown, as the pope."""
"discharge","To let fly, as a missile; to shoot."""
"higgler","One who higgles."
"charge","To fix or demand as a price; as, he charges two dollars a barrel for apples."""
"survene","To supervene upon; to come as an addition to."
"suberose","Alt. of Suberous"
"whitsunday","The seventh Sunday, and the fiftieth day, after Easter; a festival of the church in commemoration of the descent of the Holy Spirit on the day of Pentecost; Pentecost; -- so called, it is said, because, in the primitive church, those who had been newly baptized appeared at church between Easter and Pentecost in white garments."""
"count","To esteem; to account; to reckon; to think, judge, or consider."""
"knavess","A knavish woman."
"temporizingly","In a temporizing or yielding manner."
"dummy","Fictitious or sham; feigned; as, a dummy watch."""
"tetrol","A hypothetical hydrocarbon, C4H4, analogous to benzene; -- so called from the four carbon atoms in the molecule."""
"brisure","A mark of cadency or difference."
"blanket","A streak or layer of blubber in whales."
"pie","Type confusedly mixed. See Pi."
"hurter","A butting piece; a strengthening piece, esp.: (Mil.) A piece of wood at the lower end of a platform, designed to prevent the wheels of gun carriages from injuring the parapet."""
"cursed","of Curse"
"ronco","See Croaker, n., 2. (a)."""
"bedfellow","One who lies with another in the same bed; a person who shares one's couch."
"awless","Inspiring no awe."
"result","That which results; the conclusion or end to which any course or condition of things leads, or which is obtained by any process or operation; consequence or effect; as, the result of a course of action; the result of a mathematical operation."""
"menstrual","Recurring once a month; monthly; gone through in a month; as, the menstrual revolution of the moon; pertaining to monthly changes; as, the menstrual equation of the sun's place."""
"blood","Descent; lineage; especially, honorable birth; the highest royal lineage."""
"phlogistication","The act or process of combining with phlogiston."
"colorate","Colored."
"divorced","of Divorce"
"cloistral","Of, pertaining to, or confined in, a cloister; recluse."""
"muddiness","Obscurity or confusion, as in treatment of a subject; intellectual dullness."""
"beautied","Beautiful; embellished."
"scape","The shaft of a column."
"saxicavae","of Saxicava"
"prevaricator","One who prevaricates."
"oneness","The state of being one; singleness in number; individuality; unity."
"current","Running or moving rapidly."
"imperative","The imperative mood; also, a verb in the imperative mood."""
"stab","Fig.: An injury inflicted covertly or suddenly; as, a stab given to character."""
"chanter","The chief singer of the chantry."
"nautilus","A variety of diving bell, the lateral as well as vertical motions of which are controlled, by the occupants."""
"flung","of Fling"
"lunette","Any surface of semicircular or segmental form; especially, the piece of wall between the curves of a vault and its springing line."""
"drawlatch","A housebreaker or thief."
"exhort","To deliver exhortation; to use words or arguments to incite to good deeds."
"slatterpouch","A dance or game played by boys, requiring active exercise."""
"mangrove","The name of one or two trees of the genus Rhizophora (R. Mangle, and R. mucronata, the last doubtfully distinct) inhabiting muddy shores of tropical regions, where they spread by emitting aerial roots, which fasten in the saline mire and eventually become new stems. The seeds also send down a strong root while yet attached to the parent plant."""
"velum","A veil-like organ or part."
"clastic","Pertaining to what may be taken apart; as, clastic anatomy (of models)."""
"woad","A blue dyestuff, or coloring matter, consisting of the powdered and fermented leaves of the Isatis tinctoria. It is now superseded by indigo, but is somewhat used with indigo as a ferment in dyeing."""
"necromantical","Of or pertaining to necromancy; performed by necromancy."
"mellifluence","A flow of sweetness, or a sweet, smooth flow."""
"homer","A carrier pigeon remarkable for its ability to return home from a distance."
"greengrocer","A retailer of vegetables or fruits in their fresh or green state."
"mugginess","The condition or quality of being muggy."
"overspread","of Overspread"
"precipitate","Ending quickly in death; brief and fatal; as, a precipitate case of disease."""
"vermicious","Of or pertaining to worms; wormy."
"vermin","Hence, in contempt, noxious human beings."""
"institutist","A writer or compiler of, or a commentator on, institutes."""
"whitebeam","The common beam tree of England (Pyrus Aria); -- so called from the white, woolly under surface of the leaves."""
"concretion","A rounded mass or nodule produced by an aggregation of the material around a center; as, the calcareous concretions common in beds of clay."""
"japanning","The art or act of varnishing in the Japanese manner."
"occupier","One who occupies, or has possession."""
"behave","To manage or govern in point of behavior; to discipline; to handle; to restrain."
"descent","Progress downward, as in station, virtue, as in station, virtue, and the like, from a higher to a lower state, from a higher to a lower state, from the more to the less important, from the better to the worse, etc."""
"quartered","of Quartter"
"eventuality","The coming as a consequence; contingency; also, an event which comes as a consequence."""
"exclusive","One of a coterie who exclude others; one who from real of affected fastidiousness limits his acquaintance to a select few."
"bridge","Anything supported at the ends, which serves to keep some other thing from resting upon the object spanned, as in engraving, watchmaking, etc., or which forms a platform or staging over which something passes or is conveyed."""
"harlotry","Ribaldry; buffoonery; a ribald story."
"breathing","Stop; pause; delay."
"roll","To move on wheels; as, the carriage rolls along the street."""
"homestead","The home place; a home and the inclosure or ground immediately connected with it."
"meiny","Company; band; army."
"expiring","Breathing out air from the lungs; emitting fluid or volatile matter; exhaling; breathing the last breath; dying; ending; terminating."
"kreatinin","See Creatinin."
"hasped","of Hasp"
"viewy","Having peculiar views; fanciful; visionary; unpractical; as, a viewy person."""
"laquearia","of Laquear"
"coadjutive","Rendering mutual aid; coadjutant."
"anglesite","A native sulphate of lead. It occurs in white or yellowish transparent, prismatic crystals."""
"orbiculate","That which is orbiculate; especially, a solid the vertical section of which is oval, and the horizontal section circular."""
"dog","A grappling iron, with a claw or claws, for fastening into wood or other heavy articles, for the purpose of raising or moving them."""
"plausibleness","Quality of being plausible."
"vaginate","Alt. of Vaginated"
"octoradiated","Having eight rays."
"tripping","The loosing of an anchor from the ground by means of its cable or buoy rope."
"pyroxanthin","A yellow crystalline hydrocardon extracted from crude wood spirit; -- called also eblanin."
"securifera","The Serrifera."
"whoremonger","A whoremaster; a lecher; a man who frequents the society of whores."
"misbode","of Misbede"
"ultratropical","Situated beyond, or outside of, the tropics; extratropical; also, having an excessively tropical temperature; warmer than the tropics."""
"wing","Any similar member or instrument used for the purpose of flying."
"frenum","A connecting fold of membrane serving to support or restrain any part; as, the fraenum of the tongue."""
"overriding","of Override"
"aberration","A small periodical change of position in the stars and other heavenly bodies, due to the combined effect of the motion of light and the motion of the observer; called annual aberration, when the observer's motion is that of the earth in its orbit, and daily or diurnal aberration, when of the earth on its axis; amounting when greatest, in the former case, to 20.4'', and in the latter, to 0.3''. Planetary aberration is that due to the motion of light and the motion of the planet relative to the earth."""
"tick","To make a small or repeating noise by beating or otherwise, as a watch does; to beat."""
"sempiternal","Without beginning or end; eternal."
"sublimated","Refined by, or as by, sublimation; exalted; purified."""
"dit","To close up."
"move","To cause to change place or posture in any manner; to set in motion; to carry, convey, draw, or push from one place to another; to impel; to stir; as, the wind moves a vessel; the horse moves a carriage."""
"oxytonical","Oxytone."
"ratihabition","Confirmation or approbation, as of an act or contract."""
"stern","The hinder part of anything."
"exploder","One who rejects an opinion or scheme with open contempt."
"collier","One engaged in the business of digging mineral coal or making charcoal, or in transporting or dealing in coal."""
"juice","To moisten; to wet."
"ask","To publish in church for marriage; -- said of both the banns and the persons."
"acceding","of Accede"
"luculent","Lucid; clear; transparent."
"frequentative","Serving to express the frequent repetition of an action; as, a frequentative verb."""
"contemporary","Of the same age; coeval."
"reermouse","See Rearmouse."
"renown","To make famous; to give renown to."
"isopod","Having the legs similar in structure; belonging to the Isopoda."
"cowhiding","of Cowhide"
"sulphurous","Having the characteristic odor of sulphur dioxide, or of hydrogen sulphide, or of other sulphur compounds."""
"oscitant","Yawning; gaping."
"secre","A secret."
"mastery","The act process of mastering; the state of having mastered."
"clearer","One who, or that which, clears."""
"tauntress","A woman who taunts."
"homologous","Being of the same typical structure; having like relations to a fundamental type to structure; as, those bones in the hand of man and the fore foot of a horse are homologous that correspond in their structural relations, that is, in their relations to the type structure of the fore limb in vertebrates."""
"thin","Not stout; slim; slender; lean; gaunt; as, a person becomes thin by disease."""
"half-pike","A short pike, sometimes carried by officers of infantry, sometimes used in boarding ships; a spontoon."""
"pipkin","A small earthen boiler."
"avouching","of Avouch"
"ancipitous","Two-edged instead of round; -- said of certain flattened stems, as those of blue grass, and rarely also of leaves."""
"chaperon","To attend in public places as a guide and protector; to matronize."
"eccentric","Not coincident as to motive or end."
"brake","An extended handle by means of which a number of men can unite in working a pump, as in a fire engine."""
"stratocracy","A military government; government by military chiefs and an army."
"lister","A spear armed with three or more prongs, for striking fish."""
"passport","Figuratively: Anything which secures advancement and general acceptance."
"atwo","In two; in twain; asunder."
"mazama","Alt. of Mazame"
"spumous","Alt. of Spumy"
"ennoblement","The act of making noble, or of exalting, dignifying, or advancing to nobility."""
"awearied","Wearied."
"opifice","Workmanship."
"changer","One apt to change; an inconstant person."
"ducture","Guidance."
"emboly","Embolic invagination. See under Invagination."
"upbind","To bind up."
"accord","To agree in pitch and tone."
"frith","A small field taken out of a common, by inclosing it; an inclosure."""
"anomaloflorous","Having anomalous flowers."
"fleck","A flake; also, a lock, as of wool."""
"kinematic","Alt. of Kinematical"
"underhand","Secret; clandestine; hence, mean; unfair; fraudulent."""
"wrack","Wreck; ruin; destruction."
"set","A kind of punch used for bending, indenting, or giving shape to, metal; as, a saw set."""
"dynamics","The moving moral, as well as physical, forces of any kind, or the laws which relate to them."""
"unstarch","To free from starch; to make limp or pliable."
"glut","A bat, or small piece of brick, used to fill out a course."""
"intercessor","One who goes between, or intercedes; a mediator. (a) One who interposes between parties at variance, with a view to reconcile them. (b) One who pleads in behalf of another."""
"lapp","Same as Laplander. Cf. Lapps."
"introductive","Serving to introduce; introductory."
"pervasive","Tending to pervade, or having power to spread throughout; of a pervading quality."""
"laurer","Laurel."
"botryoidal","Having the form of a bunch of grapes; like a cluster of grapes, as a mineral presenting an aggregation of small spherical or spheroidal prominences."""
"anomaly","The angular distance of a planet from its perihelion, as seen from the sun. This is the true anomaly. The eccentric anomaly is a corresponding angle at the center of the elliptic orbit of the planet. The mean anomaly is what the anomaly would be if the planet's angular motion were uniform."""
"pious","Of or pertaining to piety; exhibiting piety; reverential; dutiful; religious; devout; godly."
"bathe","To surround, or envelop, as water surrounds a person immersed."""
"transferred","of Transfer"
"species","Visible or sensible presentation; appearance; a sensible percept received by the imagination; an image."
"herald","In the Middle Ages, the officer charged with the above duties, and also with the care of genealogies, of the rights and privileges of noble families, and especially of armorial bearings. In modern times, some vestiges of this office remain, especially in England. See Heralds' College (below), and King-at-Arms."""
"dimness","The state or quality / being dim; lack of brightness, clearness, or distinctness; dullness; obscurity."""
"linsey-woolsey","Cloth made of linen and wool, mixed."""
"doorstone","The stone forming a threshold."
"diphtheric","Relating to diphtheria; diphtheritic."
"prothallia","of Prothallium"
"pitiful","To be pitied for littleness or meanness; miserable; paltry; contemptible; despicable."
"maul-stick","A stick used by painters as a rest for the hand while working."
"appliance","The thing applied or used as a means to an end; an apparatus or device; as, to use various appliances; a mechanical appliance; a machine with its appliances."""
"ride","A saddle horse."
"monodimetric","Dimetric."
"sternohyoid","Of or pertaining to the sternum and the hyoid bone or cartilage."
"unsorrowed","Not sorrowed for; unlamented."
"cord","To bind with a cord; to fasten with cords; to connect with cords; to ornament or finish with a cord or cords, as a garment."""
"accomplish","To complete, as time or distance."""
"photographer","One who practices, or is skilled in, photography."""
"pettifogger","A lawyer who deals in petty cases; an attorney whose methods are mean and tricky; an inferior lawyer."
"lucid","Shining; bright; resplendent; as, the lucid orbs of heaven."""
"depend","To trust; to rest with confidence; to rely; to confide; to be certain; -- with on or upon; as, we depend on the word or assurance of our friends; we depend on the mail at the usual hour."""
"encage","To confine in a cage; to coop up."
"diathermanism","The doctrine or the phenomena of the transmission of radiant heat."
"discouragement","The act of discouraging, or the state of being discouraged; depression or weakening of confidence; dejection."""
"trifloral","Alt. of Triflorous"
"mission","Persons sent; any number of persons appointed to perform any service; a delegation; an embassy."
"beetlehead","A stupid fellow; a blockhead."
"moonwort","Any fern of the genus Botrychium, esp. B. Lunaria; -- so named from the crescent-shaped segments of its frond."""
"joker","One who makes jokes or jests."
"bunchy","Yielding irregularly; sometimes rich, sometimes poor; as, a bunchy mine."""
"foppish","Foplike; characteristic of a top in dress or manners; making an ostentatious display of gay clothing; affected in manners."
"clearly","In a clear manner."
"grainfield","A field where grain is grown."
"pair","In a mechanism, two elements, or bodies, which are so applied to each other as to mutually constrain relative motion."""
"mash","To convert into a mash; to reduce to a soft pulpy state by beating or pressure; to bruise; to crush; as, to mash apples in a mill, or potatoes with a pestle. Specifically (Brewing), to convert, as malt, or malt and meal, into the mash which makes wort."""
"open","Uttered, as a consonant, with the oral passage simply narrowed without closure, as in uttering s."""
"effectually","Actually; in effect."
"felony","An act on the part of the vassal which cost him his fee by forfeiture."
"seriality","The quality or state of succession in a series; sequence."
"culler","One who picks or chooses; esp., an inspector who selects wares suitable for market."""
"labiate","Having the limb of a tubular corolla or calyx divided into two unequal parts, one projecting over the other like the lips of a mouth, as in the snapdragon, sage, and catnip."""
"nog","One of the square logs of wood used in a pile to support the roof of a mine."
"hugger-mugger","Privacy; secrecy. Commonly in the phrase in hugger-mugger, with haste and secrecy."""
"serfism","Serfage."
"alae","of Ala"
"lithochromics","The art of printing colored pictures on canvas from oil paintings on stone."
"holothurian","One of the Holothurioidea."
"bouncer","A bold lie; also, a liar."""
"mezzo-soprano","A mezzo-soprano voice."
"workingmen","of Workingman"
"undermoneyed","Bribed."
"mesethmoid","The median vertical plate, or median element, of the ethmoid bone."""
"townless","Having no town."
"gadsman","One who uses a gad or goad in driving."
"amylaceous","Pertaining to starch; of the nature of starch; starchy."
"safe","To render safe; to make right."
"scorch","To affect painfully with heat, or as with heat; to dry up with heat; to affect as by heat."""
"apogee","That point in the orbit of the moon which is at the greatest distance from the earth."
"uintatherium","An extinct genus of large Eocene ungulates allied to Dinoceras. This name is sometimes used for nearly all the known species of the group. See Dinoceras."
"labyrinth","Any object or arrangement of an intricate or involved form, or having a very complicated nature."""
"encamp","To form and occupy a camp; to prepare and settle in temporary habitations, as tents or huts; to halt on a march, pitch tents, or form huts, and remain for the night or for a longer time, as an army or a company traveling."""
"commendatary","One who holds a living in commendam."
"pyrotechnist","One skilled in pyrotechny; one who manufactures fireworks."
"quadrennial","Comprising four years; as, a quadrennial period."""
"lustihead","See Lustihood."
"tint","A pale or faint tinge of any color."
"monster","Any thing or person of unnatural or excessive ugliness, deformity, wickedness, or cruelty."""
"bedlam","Belonging to, or fit for, a madhouse."""
"frizzler","One who frizzles."
"inconcerning","Unimportant; trifling."
"barque","A three-masted vessel, having her foremast and mainmast square-rigged, and her mizzenmast schooner-rigged."""
"ably","In an able manner; with great ability; as, ably done, planned, said."""
"unfeeling","Destitute of feeling; void of sensibility; insensible; insensate."
"contemningly","Contemptuously."
"jollification","A merrymaking; noisy festivity."
"leptocardian","One of the Leptocardia."
"fossae","of Fossa"
"scold","To find fault or rail with rude clamor; to brawl; to utter harsh, rude, boisterous rebuke; to chide sharply or coarsely; -- often with at; as, to scold at a servant."""
"fowl","To catch or kill wild fowl, for game or food, as by shooting, or by decoys, nets, etc."""
"bailer","One who bails or lades."
"heft","The greater part or bulk of anything; as, the heft of the crop was spoiled."""
"wheel","To change direction, as if revolving upon an axis or pivot; to turn; as, the troops wheeled to the right."""
"lopped","of Lop"
"meatless","Having no meat; without food."
"adept","Well skilled; completely versed; thoroughly proficient."
"concluding","of Conclude"
"rescribe","To write over again."
"pendant","The stem and ring of a watch, by which it is suspended."""
"sagittarius","The ninth of the twelve signs of the zodiac, which the sun enters about November 22, marked thus [/] in almanacs; the Archer."""
"sapphirine","Resembling sapphire; made of sapphire; having the color, or any quality of sapphire."""
"microvolt","A measure of electro-motive force; the millionth part of one volt."
"conversion","The act of changing one's views or course, as in passing from one side, party, or from of religion to another; also, the state of being so changed."""
"seasoner","One who, or that which, seasons, or gives a relish; a seasoning."""
"boroglyceride","A compound of boric acid and glycerin, used as an antiseptic."""
"enharmonical","Of or pertaining to that one of the three kinds of musical scale (diatonic, chromatic, enharmonic) recognized by the ancient Greeks, which consisted of quarter tones and major thirds, and was regarded as the most accurate."""
"acerous","Destitute of tentacles, as certain mollusks."""
"feringee","The name given to Europeans by the Hindos."
"dubieties","of Dubiety"
"glassiness","The quality of being glassy."
"decoying","of Decoy"
"conspirer","One who conspires; a conspirator."
"chab","The red-bellied wood pecker (Melanerpes Carolinus)."
"rot","Process of rotting; decay; putrefaction."
"liberalizing","of Liberalize"
"tailoring","The business or the work of a tailor or a tailoress."
"stew","A prostitute."
"unconditional","Not conditional limited, or conditioned; made without condition; absolute; unreserved; as, an unconditional surrender."""
"diluent","Diluting; making thinner or weaker by admixture, esp. of water."""
"upbraid","To charge with something wrong or disgraceful; to reproach; to cast something in the teeth of; -- followed by with or for, and formerly of, before the thing imputed."""
"incondensible","Not condensable; incapable of being made more dense or compact, or reduced to liquid form."""
"exporter","One who exports; the person who sends goods or commodities to a foreign country, in the way of commerce; -- opposed to importer."""
"cap","To deprive of cap."
"boxed","of Box"
"dementate","To deprive of reason; to dement."
"marone","See Maroon, the color."""
"literal","Giving a strict or literal construction; unimaginative; matter-of fast; -- applied to persons."
"jauntily","In a jaunty manner."
"shuffle","To move in a slovenly, dragging manner; to drag or scrape the feet in walking or dancing."""
"unmonopolize","To recover or release from the state of being monopolized."
"laths","of Lath"
"fatigued","of Fatigue"
"blubbery","Swollen; protuberant."
"gall","A wound in the skin made by rubbing."
"guid","A flower. See Gold."
"polyspermy","Fullness of sperm, or seed; the passage of more than one spermatozoon into the vitellus in the impregnation of the ovum."""
"diodont","Like or pertaining to the genus Diodon."
"countertime","Resistance; opposition."
"attendancy","The quality of attending or accompanying; attendance; an attendant."
"decursively","In a decursive manner."
"quill","The tube of a musical instrument."
"ragabash","Alt. of Ragabrash"
"gate","To supply with a gate."
"mash","A mesh."
"engagedly","With attachment; with interest; earnestly."
"palestra","A wrestling; the exercise of wrestling."
"crescent","Anything having the shape of a crescent or new moon."
"dear-loved","Greatly beloved."
"skeptical","Of or pertaining to a sceptic or skepticism; characterized by skepticism; hesitating to admit the certainly of doctrines or principles; doubting of everything."
"disinfect","To free from infectious or contagious matter; to destroy putrefaction; to purify; to make innocuous."
"martialness","The quality of being martial."
"roband","See Roperand."
"sprack","Quick; lively; alert."
"anastatic","Pertaining to a process or a style of printing from characters in relief on zinc plates."
"ministry","Agency; instrumentality."
"unhumanize","To render inhuman or barbarous."
"economical","Managing with frugality; guarding against waste or unnecessary expense; careful and frugal in management and in expenditure; -- said of character or habits."
"recession","The act of receding or withdrawing, as from a place, a claim, or a demand."""
"mountance","Amount; sum; quantity; extent."
"splashboard","A guard in the front part of vehicle, to prevent splashing by a mud or water from the horse's heels; -- in the United States commonly called dashboard."""
"gentianaceous","Of or pertaining to a natural order of plants (Gentianaceae) of which the gentian is the type."
"supernumerary","A person or thing beyond what is necessary or usual; especially, a person employed not for regular service, but only to fill the place of another in case of need; specifically, in theaters, a person who is not a regular actor, but is employed to appear in a stage spectacle."""
"scowl","Hence, gloom; dark or threatening aspect."""
"shuffle","To remove or introduce by artificial confusion."
"chronologist","Alt. of Chronologer"
"strippet","A small stream."
"persistently","In a persistent manner."
"darken","To cast a gloom upon."
"strengthened","of Strengthen"
"edge","To make sharp or keen, figuratively; to incite; to exasperate; to goad; to urge or egg on."""
"prickle","A little prick; a small, sharp point; a fine, sharp process or projection, as from the skin of an animal, the bark of a plant, etc.; a spine."""
"ablation","A carrying or taking away; removal."
"syllabication","The act of forming syllables; the act or method of dividing words into syllables. See Guide to Pron., /275."""
"centrifugal","Having the radicle turned toward the sides of the fruit, as some embryos."""
"long","To a great extent in time; during a long time."
"ruin","The act of falling or tumbling down; fall."
"fain","With joy; gladly; -- with wold."
"cest","A woman's girdle; a cestus."
"dismissal","Dismission; discharge."
"delving","of Delve"
"pole","To stir, as molten glass, with a pole."""
"prolification","Reproduction by the growth of a plant, or part of a plant, directly from an older one, or by gemmae."""
"warp","To cast the young prematurely; to slink; -- said of cattle, sheep, etc."""
"order","Conformity with law or decorum; freedom from disturbance; general tranquillity; public quiet; as, to preserve order in a community or an assembly."""
"interspiration","Spiritual inspiration at separate times, or at intervals."""
"spitbox","A vessel to receive spittle."
"arpen","Formerly, a measure of land in France, varying in different parts of the country. The arpent of Paris was 4,088 sq. yards, or nearly five sixths of an English acre. The woodland arpent was about 1 acre, 1 rood, 1 perch, English."""
"malleolus","A projection at the distal end of each bone of the leg at the ankle joint. The malleolus of the tibia is the internal projection, that of the fibula the external."""
"headiness","The quality of being heady."
"macula","A rather large spot or blotch of color."
"thickskull","A dullard, or dull person; a blockhead; a numskull."""
"equalizer","One who, or that which, equalizes anything."""
"cautionry","Suretyship."
"reap","To deprive of the beard; to shave."
"galletyle","A little tile of glazed earthenware."
"genethliac","A birthday poem."
"jaguar","A large and powerful feline animal (Felis onca), ranging from Texas and Mexico to Patagonia. It is usually brownish yellow, with large, dark, somewhat angular rings, each generally inclosing one or two dark spots. It is chiefly arboreal in its habits. Called also the American tiger."""
"vertebrate","One of the Vertebrata."
"sleazy","Wanting firmness of texture or substance; thin; flimsy; as, sleazy silk or muslin."""
"pouldron","See Pauldron."
"dog's-tongue","Hound's-tongue."
"tumbledung","Any one of numerous species of scaraboid beetles belonging to Scarabaeus, Copris, Phanaeus, and allied genera. The female lays her eggs in a globular mass of dung which she rolls by means of her hind legs to a burrow excavated in the earth in which she buries it."""
"miff","A petty falling out; a tiff; a quarrel; offense."
"levier","One who levies."
"quadrature","A quadrate; a square."
"selection","The act of selecting, or the state of being selected; choice, by preference."""
"husband","To furnish with a husband."
"vex","To to/s back and forth; to agitate; to disquiet."
"sepulchered","of Sepulchre"
"dribble","To slaver, as a child or an idiot; to drivel."""
"sucken","The jurisdiction of a mill, or that extent of ground astricted to it, the tenants of which are bound to bring their grain thither to be ground."""
"forth","A way; a passage or ford."
"wavey","The snow goose."
"ambulant","Walking; moving from place to place."
"cast","A chance, opportunity, privilege, or advantage; specifically, an opportunity of riding; a lift."""
"sopper","One who sops."
"gneiss","A crystalline rock, consisting, like granite, of quartz, feldspar, and mica, but having these materials, especially the mica, arranged in planes, so that it breaks rather easily into coarse slabs or flags. Hornblende sometimes takes the place of the mica, and it is then called hornblendic / syenitic gneiss. Similar varieties of related rocks are also called gneiss."""
"pyrophosphoric","Pertaining to, or designating, an acid, H4P2O7, which is obtained as a white crystalline substance. Its salts are obtained by heating the phosphates."""
"bindingness","The condition or property of being binding; obligatory quality."
"stuttering","of Stutter"
"merling","The European whiting."
"bloom","A popular term for a bright-hued variety of some minerals; as, the rose-red cobalt bloom."""
"wittingly","Knowingly; with knowledge; by design."
"worship","To respect; to honor; to treat with civil reverence."
"mucous","Secreting a slimy or mucigenous substance; as, the mucous membrane."""
"guiacum","Same as Guaiacum."
"nutshell","Hence, a thing of little compass, or of little value."""
"immarcescible","Unfading; lasting."
"left-handedness","Alt. of Left-handiness"
"whig","Acidulated whey, sometimes mixed with buttermilk and sweet herbs, used as a cooling beverage."""
"hefty","Moderately heavy."
"shadowing","Shade, or gradation of light and color; shading."""
"yieldable","Disposed to yield or comply."
"caudices","of Caudex"
"cone-in-cone","Consisting of a series of parallel cones, each made up of many concentric cones closely packed together; -- said of a kind of structure sometimes observed in sedimentary rocks."""
"cardinalship","The condition, dignity, of office of a cardinal"""
"oxygenizing","of Oxygenize"
"compone","Divided into squares of alternate tinctures in a single row; -- said of any bearing; or, in the case of a bearing having curved lines, divided into patches of alternate colors following the curve. If there are two rows it is called counter-compony."""
"distaste","Aversion of the taste; dislike, as of food or drink; disrelish."""
"fit","A darting point; a sudden emission."
"race","A strong or rapid current of water, or the channel or passage for such a current; a powerful current or heavy sea, sometimes produced by the meeting of two tides; as, the Portland Race; the Race of Alderney."""
"extradited","of Extradite"
"water","To wet or supply with water; to moisten; to overflow with water; to irrigate; as, to water land; to water flowers."""
"so","In that manner or degree; as, indicated (in any way), or as implied, or as supposed to be known."""
"action","Effective motion; also, mechanism; as, the breech action of a gun."""
"rotated","of Rotate"
"epicurean","Pertaining to Epicurus, or following his philosophy."""
"immixed","Unmixed."
"plasterwork","Plastering used to finish architectural constructions, exterior or interior, especially that used for the lining of rooms. Ordinarly, mortar is used for the greater part of the work, and pure plaster of Paris for the moldings and ornaments."""
"terebinthine","Of or pertaining to turpentine; consisting of turpentine, or partaking of its qualities."""
"jubae","of Juba"
"analogism","Investigation of things by the analogy they bear to each other."
"employ","To inclose; to infold."
"spleenful","Displaying, or affected with, spleen; angry; fretful; melancholy."""
"pean","A song of praise and triumph. See Paean."
"headpiece","An engraved ornament at the head of a chapter, or of a page."""
"disjointed","of Disjoint"
"monetary","Of or pertaining to money, or consisting of money; pecuniary."""
"yankee-doodle","The name of a tune adopted popularly as one of the national airs of the United States."
"chiasmus","An inversion of the order of words or phrases, when repeated or subsequently referred to in a sentence"""
"easy","Not making resistance or showing unwillingness; tractable; yielding; complying; ready."
"sacramentarian","One who holds extreme opinions regarding the efficacy of sacraments."
"thracian","A native or inhabitant of Thrace."
"trump","An old game with cards, nearly the same as whist; -- called also ruff."""
"flocculating","of Flocculate"
"vanadate","A salt of vanadic acid."
"modulating","of Modulate"
"minum","A minim."
"familiarizing","of Familiarize"
"impressment","The act of seizing for public use, or of impressing into public service; compulsion to serve; as, the impressment of provisions or of sailors."""
"poll","A parrot; -- familiarly so called."
"vital","Very necessary; highly important; essential."
"flag","To convey, as a message, by means of flag signals; as, to flag an order to troops or vessels at a distance."""
"surfeit","To load the stomach with food, so that sickness or uneasiness ensues; to eat to excess."""
"bookmark","Something placed in a book to guide in finding a particular page or passage; also, a label in a book to designate the owner; a bookplate."""
"consuming","of Consume"
"cocoon","The egg cases of mucus, etc., made by leeches and other worms."""
"plash","The branch of a tree partly cut or bent, and bound to, or intertwined with, other branches."""
"celebrate","To perform or participate in, as a sacrament or solemn rite; to solemnize; to perform with appropriate rites; as, to celebrate a marriage."""
"ubiquitariness","Quality or state of being ubiquitary, or ubiquitous."""
"believer","One who was admitted to all the rights of divine worship and instructed in all the mysteries of the Christian religion, in distinction from a catechumen, or one yet under instruction."""
"even","At the very time; in the very case."
"nero","A Roman emperor notorius for debauchery and barbarous cruelty; hence, any profligate and cruel ruler or merciless tyrant."""
"sejant","Alt. of Sejeant"
"replica","Repetition."
"bargainer","One who makes a bargain; -- sometimes in the sense of bargainor."
"indicatively","In an indicative manner; in a way to show or signify."
"reverse","The act of reversing; complete change; reversal; hence, total change in circumstances or character; especially, a change from better to worse; misfortune; a check or defeat; as, the enemy met with a reverse."""
"re-ferment","To ferment, or cause to ferment, again."""
"catabasion","A vault under altar of a Greek church."
"patio","A paved yard or floor where ores are cleaned and sorted, or where ore, salt, mercury, etc., are trampled by horses, to effect intermixture and amalgamation."""
"nawl","An awl."
"quakingly","In a quaking manner; fearfully."
"archil","The plant from which the dye is obtained."
"stride","To stand with the legs wide apart; to straddle."
"matterless","Unimportant; immaterial."
"graciously","Fortunately; luckily."
"hyads","A cluster of five stars in the face of the constellation Taurus, supposed by the ancients to indicate the coming of rainy weather when they rose with the sun."""
"moonfish","The mola. See Sunfish, 1."""
"freedman","A man who has been a slave, and has been set free."""
"cinematics","See Kinematics."
"animated","Endowed with life; full of life or spirit; indicating animation; lively; vigorous."
"overspan","To reach or extend over."
